,personne,jour_x,noteM_x,class_x,jour_y,noteM_y,class_y,jour,noteM,class,ClassF
0,1.0,4.0,2.75,3,5.0,4.0,4,2.0,2.0,2,3.0
0,1.0,4.0,2.75,3,5.0,4.0,4,2.0,2.0,2,3.0
0,1.0,5.0,4.0,4,2.0,2.0,2,3.0,2.5,3,5.0
0,1.0,2.0,2.0,2,3.0,2.5,3,5.0,2.0,2,1.0
0,1.0,3.0,2.5,3,5.0,2.0,2,1.0,4.0,4,3.0
