,personne,jour_x,noteM_x,class_x,jour_y,noteM_y,class_y,jour,noteM,class,ClassF
0,2.0,3.0,2.5,3,5.0,2.5,3,2.0,2.0,2,4.0
0,2.0,3.0,2.5,3,5.0,2.5,3,2.0,2.0,2,4.0
0,2.0,5.0,2.5,3,2.0,2.0,2,4.0,2.5,3,4.0
0,2.0,2.0,2.0,2,4.0,2.5,3,4.0,2.0,2,4.0
