,personne,jour_x,noteM_x,class_x,jour_y,noteM_y,class_y,jour,noteM,class,ClassF
0,4.0,2.0,4.5,5,4.0,2.75,3,4.0,2.75,3,1.0
0,4.0,2.0,4.5,5,4.0,2.75,3,4.0,2.75,3,1.0
0,4.0,4.0,2.75,3,4.0,2.75,3,1.0,2.75,3,3.0
0,4.0,4.0,2.75,3,1.0,2.75,3,3.0,4.5,5,2.0
0,4.0,1.0,2.75,3,3.0,4.5,5,2.0,2.75,3,5.0
0,4.0,3.0,4.5,5,2.0,2.75,3,5.0,4.5,5,3.0
0,4.0,2.0,2.75,3,5.0,4.5,5,3.0,4.5,5,1.0
0,4.0,5.0,4.5,5,3.0,4.5,5,1.0,2.75,3,4.0
